ticker,company_name,fiscal_year,source_page,source_url,remote_filename,local_path,sha256,bytes_downloaded,page_count,detected_years,discovery_method,validation_status,status,error
BEL,Bell Equipment Limited,2025,https://www.bellir.co.za/fin_reports.htm,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2016,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2017,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2018,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2019,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2020,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2021,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2022,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2023,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2024,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
EOH,iOCO Limited,2025,https://www.ioco.tech/investor-relations/,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2016,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2017,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2018,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2019,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2020,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2021,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2022,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2023,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
CLH,City Lodge Hotels Limited,2024,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
